STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-28,1.12,,0,0,0,20,30,9,10,270,6,8.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-29,2.46,,0.24,2.6,0,27,34,25,170,180,13,15,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-30,11.41,,0.2,1.9,3.9,28,34,19,110,90,23,28,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-31,3.8,,0.05,1.1,5.9,20,25,16,340,340,19.9,25.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-01,6.04,,0,0,5.1,22,27,11,100,90,16.1,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-02,2.01,,0,0,5.1,17,23,16,130,120,10.1,13,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-03,13.65,,0.03,0.5,5.1,20,25,6,80,80,23,29.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-04,15.66,,0,0,3.9,6,7,-1,90,110,23.9,29.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-05,18.12,,0,0,3.9,-1,3,-7,140,140,23,28,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-06,5.82,,0,0,3.9,-7,0,-23,110,110,23.9,30,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-07,1.12,,0.05,0.9,3.9,-3,11,-9,250,240,6.9,8.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-08,5.37,,0.04,1,5.1,8,19,2,100,120,17,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-09,4.03,,0.21,6.1,7.9,13,17,10,110,110,21.9,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-10,1.57,,0.03,1.1,9.1,18,27,16,300,290,8.9,11,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-11,6.93,,0.06,0.6,7.9,28,42,21,280,280,25.9,34,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-12,10.07,,0.01,0.1,5.9,34,45,27,250,140,25.1,32,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-13,8.5,,0.04,0,3.9,38,42,29,280,280,38,46.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-14,6.93,,0.03,0,3.1,31,41,26,310,310,23.9,31.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-15,5.37,,0.13,0,3.1,34,39,25,100,100,21,25.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-16,8.05,,0.01,0,0,37,42,33,230,230,35.1,38.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-17,7.38,,0.09,0.1,0,37,44,33,240,260,18.1,31.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-18,6.49,,0.1,0.6,1.2,34,42,28,170,180,29.1,36,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-19,10.51,,0.08,1.5,0,35,38,20,280,280,23.9,31.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-20,6.04,,0.09,2.1,2,27,33,18,150,170,21,25.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-21,7.61,,0.24,5.1,5.9,29,34,15,280,310,25.9,31.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-22,0.45,,0,0,5.9,17,25,5,340,350,6.9,6.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-23,8.5,,0.19,3.4,5.1,20,22,19,110,100,19.9,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-24,5.82,,0.33,7.9,7.1,18,20,15,20,20,15,19,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-25,4.92,,0.01,0.1,11.8,19,29,4,120,120,21.9,23.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-26,2.91,,0,0,9.1,11,21,-2,120,110,13,15,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-27,0.22,,0.38,3.7,7.9,16,24,10,110,140,4.9,4.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-02-28,18.34,,0.32,5.4,13,22,27,4,80,80,25.9,34,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-01,20.36,,0.01,1,14.2,5,5,0,110,80,28,35.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-02,4.47,,0.15,1.8,14.2,7,16,5,110,120,23.9,30,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-03,2.68,,0.06,0.1,11,20,41,14,120,110,12.1,16.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-04,4.03,,0.03,0,9.1,34,46,26,180,180,19.9,23.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-05,8.72,,0.05,0,7.1,39,48,34,160,150,19.9,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-06,5.82,,0.3,0,5.1,39,47,34,170,170,21.9,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-07,3.58,,0,0,3.9,38,45,33,360,350,14.1,19.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-08,3.58,,0,0,3.9,36,51,26,360,360,14.1,23,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-09,6.26,,0.04,0,1.2,45,55,39,170,170,16.1,19.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-10,5.59,,0.37,0,0,40,44,36,330,320,23,28,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-11,6.71,,0,0,0,39,49,32,240,250,14.1,18.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-12,1.79,,0,0,0,37,51,26,270,260,8.9,12.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-13,5.82,,0,0,0,36,55,23,300,320,18.1,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-14,3.8,,0.04,0,0,37,49,26,270,280,25.1,31.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-15,4.7,,0,0,0,40,50,29,300,320,16.1,19.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-16,4.92,,0,0,0,38,63,23,260,260,25.1,35.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-17,11.41,,0.02,0,0,43,49,34,280,290,32,40,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-18,6.49,,0,0,0,35,41,27,250,260,19.9,25.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-19,4.25,,0,0,0,33,49,24,290,280,17,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-20,10.07,,0.02,0,0,37,42,27,310,310,28,36.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-21,5.37,,0,0,0,31,41,22,360,360,16.1,18.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-22,6.93,,0,0,0,31,44,24,110,120,19.9,23,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-23,5.59,,0.06,0.4,0,36,50,30,270,260,21,23.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-24,2.46,,0,0,0,36,52,22,360,360,8.1,10.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-25,4.03,,0,0,0,39,56,25,300,290,13,15,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-26,5.59,,0,0,0,45,53,33,260,260,18.1,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-27,4.47,,0.24,1.8,0,37,45,32,90,190,12.1,15,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-28,7.38,,0.04,0,0,41,52,34,180,180,17,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-29,6.49,,0.31,0,0,44,50,36,210,300,21,25.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-30,4.92,,0.01,0,0,40,49,32,270,250,23,28,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-03-31,3.8,,0.01,0,0,38,49,32,280,290,19.9,23,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-01,4.47,,0,0,0,39,56,25,120,90,16.1,19.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-02,6.26,,0,0,0,42,53,29,280,280,30,36,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-03,3.58,,0,0,0,40,57,28,210,250,14.1,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-04,6.71,,0,0,0,42,53,30,280,300,23,29.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-05,6.04,,0,0,0,41,52,31,270,260,21.9,27.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-06,7.83,,0.04,0,0,44,55,35,270,280,29.1,38,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-07,3.8,,0,0,0,46,64,32,220,250,18.1,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-08,5.14,,0,0,0,49,73,32,260,280,25.1,40,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-09,10.29,,0.03,0,0,53,58,35,250,240,23.9,35.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-10,5.14,,0,0,0,45,61,31,300,300,17,23,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-11,7.83,,0,0,0,46,64,28,260,290,25.9,36,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-12,8.28,,0.06,0,0,45,55,31,340,340,25.1,35.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-13,8.5,,0,0,0,35,48,26,110,120,18.1,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-14,2.68,,0,0,0,36,61,20,270,270,18.1,23,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-15,8.28,,0.01,0,0,45,49,35,320,290,25.1,30,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-16,2.68,,0,0,0,39,50,26,360,350,13,17,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-17,4.92,,0.1,0,0,47,57,40,290,290,15,18.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-18,10.51,,0.03,0,0,46,53,31,280,270,35.1,42.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-19,5.37,,0,0,0,41,69,24,310,320,33.1,42.9,,,,,,,1,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-20,8.72,,0,0,0,51,59,36,290,250,21.9,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-21,4.7,,0,0,0,47,73,28,170,170,19.9,23.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-22,8.72,,0.08,0,0,54,59,39,290,300,23,28,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-23,8.5,,0.04,0,0,42,52,36,240,240,31.1,38,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-24,4.7,,0.07,0,0,42,54,36,300,290,17,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-25,3.13,,0.07,0,0,45,61,31,280,120,14.1,18.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-26,9.62,,0.19,0,0,46,49,35,290,290,21.9,25.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-27,5.37,,0.01,0,0,41,52,30,300,310,25.1,32,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-28,8.72,,0,0,0,41,53,32,290,300,28,35.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-29,3.8,,0,0,0,42,62,26,20,20,17,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-04-30,2.91,,0,0,0,47,70,29,20,10,16.1,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-01,2.24,,0,0,0,54,79,34,310,190,10.1,13,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-02,5.59,,0,0,0,60,77,39,270,280,23,30,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-03,5.82,,0.1,0,0,58,68,46,310,310,28,35.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-04,5.37,,0.18,0,0,50,61,43,320,320,28,36,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-05,5.37,,0.13,0,0,49,58,39,310,320,31.1,42.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-06,8.5,,0,0,0,46,58,36,290,290,25.9,30,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-07,8.28,,0.01,0,0,46,57,37,20,10,17,23.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-08,2.24,,0,0,0,47,64,31,250,250,13,17,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-09,7.38,,0.03,0,0,51,60,43,290,290,25.9,33.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-10,9.62,,0,0,0,47,56,40,350,350,21,27.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-11,8.5,,0.42,0.1,0,43,49,32,40,30,17,21,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-12,3.8,,0,0,0,41,60,27,10,30,14.1,18.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-13,2.68,,0,0,0,47,68,29,20,20,17,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-14,2.91,,0,0,0,52,74,34,300,300,17,23,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-15,2.91,,0,0,0,59,78,40,300,300,15,18.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-16,10.29,,0.04,0,0,64,72,53,10,360,23,30,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-17,5.82,,0,0,0,58,74,43,320,320,21.9,32,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-18,6.93,,0.01,0,0,54,62,40,160,160,21.9,27.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-19,4.25,,0,0,0,53,64,42,220,340,17,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-20,4.47,,0,0,0,52,72,36,10,10,17,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-21,3.58,,0,0,0,57,78,38,20,40,14.1,18.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-22,3.58,,0,0,0,62,83,43,320,310,14.1,18.1,,,,,,,1,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-23,5.37,,0,0,0,64,85,43,290,290,21.9,31.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-24,6.04,,0.01,0,0,64,68,50,310,310,14.1,17,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-25,3.36,,0,0,0,58,76,42,250,250,19.9,23.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-26,8.28,,0.02,0,0,60,68,47,300,300,21.9,27.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-27,6.49,,0,0,0,56,77,38,270,260,23.9,30,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-28,12.3,,0,0,0,60,69,45,260,260,32,38.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-29,6.26,,0,0,0,53,66,39,350,10,15,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-30,4.92,,0,0,0,54,76,33,20,20,18.1,23.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-05-31,7.16,,0.05,0,0,64,76,50,170,170,25.1,31.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-01,5.59,,0.01,0,0,60,74,48,310,310,30,36.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-02,2.01,,0,0,0,60,80,41,270,230,10.1,14.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-03,7.38,,0.02,0,0,63,74,50,10,20,31.1,42.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-04,5.82,,0,0,0,58,78,44,280,230,18.1,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-05,7.16,,0,0,0,62,76,43,250,250,23.9,31.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-06,6.26,,0,0,0,58,73,39,20,10,17,23,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-07,4.47,,0,0,0,58,74,38,300,320,15,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-08,3.8,,0,0,0,61,78,42,310,310,15,19,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-09,7.61,,0,0,0,63,78,42,270,250,25.1,33.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-10,10.29,,0,0,0,62,76,41,20,360,25.1,34,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-11,6.71,,0,0,0,60,75,42,10,20,16.1,21,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-12,13.65,,0.03,0,0,66,81,55,290,260,23.9,35.1,,,1,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-13,9.4,,0.03,0,0,58,65,45,280,270,23,28,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-14,4.7,,0.01,0,0,52,58,45,280,280,16.1,19,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-15,5.14,,0,0,0,54,70,44,250,260,19.9,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-16,6.04,,0.15,0,0,53,59,47,300,300,23,27.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-17,6.71,,0.55,0,0,47,55,41,330,320,17,21.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-18,3.13,,0.41,0,0,47,51,43,340,330,15,19,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-19,6.26,,0.01,0,0,53,74,45,270,270,25.9,34,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-20,6.26,,0.04,0,0,61,78,44,290,290,23.9,28,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-21,6.04,,0,0,0,64,78,45,360,290,17,23,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-22,5.14,,0,0,0,64,81,46,120,230,23,32,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-23,5.14,,0,0,0,62,84,47,120,110,15,19,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-24,9.62,,0,0,0,70,81,54,330,310,19.9,27.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-25,6.26,,0,0,0,68,80,52,250,220,15,18.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-26,4.25,,0.66,0,0,63,68,56,250,250,16.1,18.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-06-27,4.25,,0.04,0,0,60,68,54,310,320,15,19,,,,,,,,
